Species 1,Species 2,Dist,Std. Err
AB009938 Staphylococcus delphini,MT442037 Staphylococcus canis,0.0082276779,0.0026163256
AJ780976 Staphylococcus pseudintermedius,MT442037 Staphylococcus canis,0.0089236247,0.0028454386
CAIB01000045 Staphylococcus intermedius,MT442037 Staphylococcus canis,0.0071717195,0.0024839536
FXUZ01000000 Staphylococcus cornubiensis,MT442037 Staphylococcus canis,0.0055117106,0.0021344547
KY019172 Staphylococcus ursi,MT442037 Staphylococcus canis,0.0078764452,0.0024588284
X84731 Staphylococcus lutrae,MT442037 Staphylococcus canis,0.0120289437,0.0032002128
HM484980 Staphylococcus agnetis,MT442037 Staphylococcus canis,0.0084963900,0.0025873871
CP008747 Staphylococcus hyicus,MT442037 Staphylococcus canis,0.0094583888,0.0026566915
D83360 Staphylococcus chromogenes,MT442037 Staphylococcus canis,0.0073892673,0.0025302046
S83568 Staphylococcus schleiferi subsp. schleiferi,MT442037 Staphylococcus canis,0.0078777036,0.0026120792
AB009945 Staphylococcus coagulans,MT442037 Staphylococcus canis,0.0074056559,0.0024709659
D83364 Staphylococcus felis,MT442037 Staphylococcus canis,0.0032766455,0.0016071696
AB009938 Staphylococcus delphini,EU888120 Staphylococcus microti,0.0200269854,0.0037232335
AJ780976 Staphylococcus pseudintermedius,EU888120 Staphylococcus microti,0.0192648950,0.0036341225
CAIB01000045 Staphylococcus intermedius,EU888120 Staphylococcus microti,0.0171774296,0.0033725513
FXUZ01000000 Staphylococcus cornubiensis,EU888120 Staphylococcus microti,0.0129030252,0.0029914493
KY019172 Staphylococcus ursi,EU888120 Staphylococcus microti,0.0178659604,0.0033569732
X84731 Staphylococcus lutrae,EU888120 Staphylococcus microti,0.0193094004,0.0036877839
HM484980 Staphylococcus agnetis,EU888120 Staphylococcus microti,0.0195044399,0.0036210165
CP008747 Staphylococcus hyicus,EU888120 Staphylococcus microti,0.0185649794,0.0035043513
D83360 Staphylococcus chromogenes,EU888120 Staphylococcus microti,0.0165110847,0.0033042073
S83568 Staphylococcus schleiferi subsp. schleiferi,EU888120 Staphylococcus microti,0.0171892396,0.0033462457
AB009945 Staphylococcus coagulans,EU888120 Staphylococcus microti,0.0172348673,0.0032655363
D83364 Staphylococcus felis,EU888120 Staphylococcus microti,0.0186194878,0.0035854710
MT442037 Staphylococcus canis,EU888120 Staphylococcus microti,0.0131847451,0.0034020861
AB009938 Staphylococcus delphini,FM242137 Staphylococcus rostri,0.0194461621,0.0036957551
AJ780976 Staphylococcus pseudintermedius,FM242137 Staphylococcus rostri,0.0180024455,0.0035122927
CAIB01000045 Staphylococcus intermedius,FM242137 Staphylococcus rostri,0.0165253407,0.0033148545
FXUZ01000000 Staphylococcus cornubiensis,FM242137 Staphylococcus rostri,0.0114172640,0.0028727679
KY019172 Staphylococcus ursi,FM242137 Staphylococcus rostri,0.0172452849,0.0032803409
X84731 Staphylococcus lutrae,FM242137 Staphylococcus rostri,0.0212181640,0.0039032651
HM484980 Staphylococcus agnetis,FM242137 Staphylococcus rostri,0.0163504168,0.0034512430
CP008747 Staphylococcus hyicus,FM242137 Staphylococcus rostri,0.0165205145,0.0034221369
D83360 Staphylococcus chromogenes,FM242137 Staphylococcus rostri,0.0167236202,0.0033741008
S83568 Staphylococcus schleiferi subsp. schleiferi,FM242137 Staphylococcus rostri,0.0160212418,0.0032977489
AB009945 Staphylococcus coagulans,FM242137 Staphylococcus rostri,0.0165354433,0.0032290953
D83364 Staphylococcus felis,FM242137 Staphylococcus rostri,0.0204263711,0.0037646859
MT442037 Staphylococcus canis,FM242137 Staphylococcus rostri,0.0141526632,0.0036539835
EU888120 Staphylococcus microti,FM242137 Staphylococcus rostri,0.0035954001,0.0015427956
AB009938 Staphylococcus delphini,FR733703 Staphylococcus muscae,0.0191417304,0.0035761276
AJ780976 Staphylococcus pseudintermedius,FR733703 Staphylococcus muscae,0.0189007924,0.0035636570
CAIB01000045 Staphylococcus intermedius,FR733703 Staphylococcus muscae,0.0172910441,0.0033732168
FXUZ01000000 Staphylococcus cornubiensis,FR733703 Staphylococcus muscae,0.0131917664,0.0030732948
KY019172 Staphylococcus ursi,FR733703 Staphylococcus muscae,0.0178270629,0.0032945488
X84731 Staphylococcus lutrae,FR733703 Staphylococcus muscae,0.0188670412,0.0035484276
HM484980 Staphylococcus agnetis,FR733703 Staphylococcus muscae,0.0173100016,0.0034415727
CP008747 Staphylococcus hyicus,FR733703 Staphylococcus muscae,0.0171608708,0.0033497854
D83360 Staphylococcus chromogenes,FR733703 Staphylococcus muscae,0.0171910057,0.0032293721
S83568 Staphylococcus schleiferi subsp. schleiferi,FR733703 Staphylococcus muscae,0.0159880368,0.0031239733
AB009945 Staphylococcus coagulans,FR733703 Staphylococcus muscae,0.0163791876,0.0031212268
D83364 Staphylococcus felis,FR733703 Staphylococcus muscae,0.0193000525,0.0035806683
MT442037 Staphylococcus canis,FR733703 Staphylococcus muscae,0.0111043283,0.0029767486
EU888120 Staphylococcus microti,FR733703 Staphylococcus muscae,0.0061176018,0.0020360421
FM242137 Staphylococcus rostri,FR733703 Staphylococcus muscae,0.0049893945,0.0018899479
AB009938 Staphylococcus delphini,D83358 Staphylococcus auricularis,0.0227555749,0.0037908943
AJ780976 Staphylococcus pseudintermedius,D83358 Staphylococcus auricularis,0.0206140656,0.0037290161
CAIB01000045 Staphylococcus intermedius,D83358 Staphylococcus auricularis,0.0199197814,0.0036035773
FXUZ01000000 Staphylococcus cornubiensis,D83358 Staphylococcus auricularis,0.0209054766,0.0037353700
KY019172 Staphylococcus ursi,D83358 Staphylococcus auricularis,0.0206140656,0.0036174918
X84731 Staphylococcus lutrae,D83358 Staphylococcus auricularis,0.0242040977,0.0041323161
HM484980 Staphylococcus agnetis,D83358 Staphylococcus auricularis,0.0231344238,0.0040960007
CP008747 Staphylococcus hyicus,D83358 Staphylococcus auricularis,0.0227532557,0.0040424859
D83360 Staphylococcus chromogenes,D83358 Staphylococcus auricularis,0.0227398953,0.0040926641
S83568 Staphylococcus schleiferi subsp. schleiferi,D83358 Staphylococcus auricularis,0.0241830264,0.0039377227
AB009945 Staphylococcus coagulans,D83358 Staphylococcus auricularis,0.0227759448,0.0037880465
D83364 Staphylococcus felis,D83358 Staphylococcus auricularis,0.0248632460,0.0041249995
MT442037 Staphylococcus canis,D83358 Staphylococcus auricularis,0.0198802425,0.0039491062
EU888120 Staphylococcus microti,D83358 Staphylococcus auricularis,0.0263282829,0.0042040579
FM242137 Staphylococcus rostri,D83358 Staphylococcus auricularis,0.0256007184,0.0041587943
FR733703 Staphylococcus muscae,D83358 Staphylococcus auricularis,0.0270084039,0.0041458835
AB009938 Staphylococcus delphini,AB233329 Staphylococcus carnosus subsp. utilis,0.0316680620,0.0045271242
AJ780976 Staphylococcus pseudintermedius,AB233329 Staphylococcus carnosus subsp. utilis,0.0302339920,0.0044903343
CAIB01000045 Staphylococcus intermedius,AB233329 Staphylococcus carnosus subsp. utilis,0.0309529334,0.0045524909
FXUZ01000000 Staphylococcus cornubiensis,AB233329 Staphylococcus carnosus subsp. utilis,0.0277956585,0.0042761833
KY019172 Staphylococcus ursi,AB233329 Staphylococcus carnosus subsp. utilis,0.0302509210,0.0044697077
X84731 Staphylococcus lutrae,AB233329 Staphylococcus carnosus subsp. utilis,0.0324721041,0.0046689729
HM484980 Staphylococcus agnetis,AB233329 Staphylococcus carnosus subsp. utilis,0.0290597667,0.0044244137
CP008747 Staphylococcus hyicus,AB233329 Staphylococcus carnosus subsp. utilis,0.0309723838,0.0045960045
D83360 Staphylococcus chromogenes,AB233329 Staphylococcus carnosus subsp. utilis,0.0317003301,0.0045519853
S83568 Staphylococcus schleiferi subsp. schleiferi,AB233329 Staphylococcus carnosus subsp. utilis,0.0317062049,0.0044752065
AB009945 Staphylococcus coagulans,AB233329 Staphylococcus carnosus subsp. utilis,0.0317476931,0.0045415251
D83364 Staphylococcus felis,AB233329 Staphylococcus carnosus subsp. utilis,0.0324558381,0.0044325174
MT442037 Staphylococcus canis,AB233329 Staphylococcus carnosus subsp. utilis,0.0226595490,0.0041694205
EU888120 Staphylococcus microti,AB233329 Staphylococcus carnosus subsp. utilis,0.0332386353,0.0047841936
FM242137 Staphylococcus rostri,AB233329 Staphylococcus carnosus subsp. utilis,0.0288122720,0.0044941950
FR733703 Staphylococcus muscae,AB233329 Staphylococcus carnosus subsp. utilis,0.0296348429,0.0044252992
D83358 Staphylococcus auricularis,AB233329 Staphylococcus carnosus subsp. utilis,0.0245183722,0.0039195190
AB009938 Staphylococcus delphini,EU727181 Staphylococcus carnosus subsp. carnosus,0.0273446704,0.0041916525
AJ780976 Staphylococcus pseudintermedius,EU727181 Staphylococcus carnosus subsp. carnosus,0.0277199323,0.0043049647
CAIB01000045 Staphylococcus intermedius,EU727181 Staphylococcus carnosus subsp. carnosus,0.0255426787,0.0040771529
FXUZ01000000 Staphylococcus cornubiensis,EU727181 Staphylococcus carnosus subsp. carnosus,0.0242154388,0.0040001100
KY019172 Staphylococcus ursi,EU727181 Staphylococcus carnosus subsp. carnosus,0.0248716637,0.0039703618
X84731 Staphylococcus lutrae,EU727181 Staphylococcus carnosus subsp. carnosus,0.0273447866,0.0043102278
HM484980 Staphylococcus agnetis,EU727181 Staphylococcus carnosus subsp. carnosus,0.0268330254,0.0042620675
CP008747 Staphylococcus hyicus,EU727181 Staphylococcus carnosus subsp. carnosus,0.0255579811,0.0041283503
D83360 Staphylococcus chromogenes,EU727181 Staphylococcus carnosus subsp. carnosus,0.0283797232,0.0042586166
S83568 Staphylococcus schleiferi subsp. schleiferi,EU727181 Staphylococcus carnosus subsp. carnosus,0.0279972226,0.0041659519
AB009945 Staphylococcus coagulans,EU727181 Staphylococcus carnosus subsp. carnosus,0.0280903216,0.0042753124
D83364 Staphylococcus felis,EU727181 Staphylococcus carnosus subsp. carnosus,0.0284133060,0.0042053130
MT442037 Staphylococcus canis,EU727181 Staphylococcus carnosus subsp. carnosus,0.0203674910,0.0040016938
EU888120 Staphylococcus microti,EU727181 Staphylococcus carnosus subsp. carnosus,0.0305418052,0.0044911223
FM242137 Staphylococcus rostri,EU727181 Staphylococcus carnosus subsp. carnosus,0.0275070658,0.0042854129
FR733703 Staphylococcus muscae,EU727181 Staphylococcus carnosus subsp. carnosus,0.0264070260,0.0040107531
D83358 Staphylococcus auricularis,EU727181 Staphylococcus carnosus subsp. carnosus,0.0199492010,0.0034183703
AB233329 Staphylococcus carnosus subsp. utilis,EU727181 Staphylococcus carnosus subsp. carnosus,0.0041387957,0.0016185322
AB009938 Staphylococcus delphini,Y15750 Staphylococcus condimenti,0.0273821064,0.0042240933
AJ780976 Staphylococcus pseudintermedius,Y15750 Staphylococcus condimenti,0.0277574640,0.0043389843
CAIB01000045 Staphylococcus intermedius,Y15750 Staphylococcus condimenti,0.0253045637,0.0040655737
FXUZ01000000 Staphylococcus cornubiensis,Y15750 Staphylococcus condimenti,0.0237254339,0.0039338579
KY019172 Staphylococcus ursi,Y15750 Staphylococcus condimenti,0.0257665655,0.0039219060
X84731 Staphylococcus lutrae,Y15750 Staphylococcus condimenti,0.0270672384,0.0042508666
HM484980 Staphylococcus agnetis,Y15750 Staphylococcus condimenti,0.0268330254,0.0042897692
CP008747 Staphylococcus hyicus,Y15750 Staphylococcus condimenti,0.0251021568,0.0040763905
D83360 Staphylococcus chromogenes,Y15750 Staphylococcus condimenti,0.0283797232,0.0042695458
S83568 Staphylococcus schleiferi subsp. schleiferi,Y15750 Staphylococcus condimenti,0.0281330407,0.0040732451
AB009945 Staphylococcus coagulans,Y15750 Staphylococcus condimenti,0.0288252872,0.0042770702
D83364 Staphylococcus felis,Y15750 Staphylococcus condimenti,0.0284133060,0.0041494752
MT442037 Staphylococcus canis,Y15750 Staphylococcus condimenti,0.0207019300,0.0039584119
EU888120 Staphylococcus microti,Y15750 Staphylococcus condimenti,0.0298368200,0.0044541164
FM242137 Staphylococcus rostri,Y15750 Staphylococcus condimenti,0.0260611922,0.0042093326
FR733703 Staphylococcus muscae,Y15750 Staphylococcus condimenti,0.0252928135,0.0039234418
D83358 Staphylococcus auricularis,Y15750 Staphylococcus condimenti,0.0199492010,0.0034577872
AB233329 Staphylococcus carnosus subsp. utilis,Y15750 Staphylococcus condimenti,0.0048310110,0.0017597543
EU727181 Staphylococcus carnosus subsp. carnosus,Y15750 Staphylococcus condimenti,0.0019839887,0.0011215026
AB009938 Staphylococcus delphini,Y15754 Staphylococcus piscifermentans,0.0280987696,0.0043224123
AJ780976 Staphylococcus pseudintermedius,Y15754 Staphylococcus piscifermentans,0.0284666458,0.0044333579
CAIB01000045 Staphylococcus intermedius,Y15754 Staphylococcus piscifermentans,0.0259993831,0.0041710506
FXUZ01000000 Staphylococcus cornubiensis,Y15754 Staphylococcus piscifermentans,0.0237444464,0.0039640308
KY019172 Staphylococcus ursi,Y15754 Staphylococcus piscifermentans,0.0264564296,0.0040145059
X84731 Staphylococcus lutrae,Y15754 Staphylococcus piscifermentans,0.0270882546,0.0042492837
HM484980 Staphylococcus agnetis,Y15754 Staphylococcus piscifermentans,0.0253844324,0.0042097267
CP008747 Staphylococcus hyicus,Y15754 Staphylococcus piscifermentans,0.0251211923,0.0040604047
D83360 Staphylococcus chromogenes,Y15754 Staphylococcus piscifermentans,0.0276994849,0.0042129881
S83568 Staphylococcus schleiferi subsp. schleiferi,Y15754 Staphylococcus piscifermentans,0.0267951668,0.0039617230
AB009945 Staphylococcus coagulans,Y15754 Staphylococcus piscifermentans,0.0274545268,0.0041803405
D83364 Staphylococcus felis,Y15754 Staphylococcus piscifermentans,0.0277322692,0.0040826963
MT442037 Staphylococcus canis,Y15754 Staphylococcus piscifermentans,0.0207349474,0.0039645484
EU888120 Staphylococcus microti,Y15754 Staphylococcus piscifermentans,0.0284509953,0.0043209486
FM242137 Staphylococcus rostri,Y15754 Staphylococcus piscifermentans,0.0246151241,0.0040779671
FR733703 Staphylococcus muscae,Y15754 Staphylococcus piscifermentans,0.0239631973,0.0038239339
D83358 Staphylococcus auricularis,Y15754 Staphylococcus piscifermentans,0.0206608560,0.0034898174
AB233329 Staphylococcus carnosus subsp. utilis,Y15754 Staphylococcus piscifermentans,0.0048398430,0.0018421184
EU727181 Staphylococcus carnosus subsp. carnosus,Y15754 Staphylococcus piscifermentans,0.0033147328,0.0013753911
Y15750 Staphylococcus condimenti,Y15754 Staphylococcus piscifermentans,0.0019500026,0.0011117893
AB009938 Staphylococcus delphini,MK121623 Staphylococcus debuckii,0.0287324544,0.0042839053
AJ780976 Staphylococcus pseudintermedius,MK121623 Staphylococcus debuckii,0.0290927033,0.0043636795
CAIB01000045 Staphylococcus intermedius,MK121623 Staphylococcus debuckii,0.0266194728,0.0041120733
FXUZ01000000 Staphylococcus cornubiensis,MK121623 Staphylococcus debuckii,0.0245177243,0.0039776695
KY019172 Staphylococcus ursi,MK121623 Staphylococcus debuckii,0.0258177346,0.0040020665
X84731 Staphylococcus lutrae,MK121623 Staphylococcus debuckii,0.0277537575,0.0042506029
HM484980 Staphylococcus agnetis,MK121623 Staphylococcus debuckii,0.0260979004,0.0041820698
CP008747 Staphylococcus hyicus,MK121623 Staphylococcus debuckii,0.0258228371,0.0040423628
D83360 Staphylococcus chromogenes,MK121623 Staphylococcus debuckii,0.0276775137,0.0041276331
S83568 Staphylococcus schleiferi subsp. schleiferi,MK121623 Staphylococcus debuckii,0.0268645086,0.0039843227
AB009945 Staphylococcus coagulans,MK121623 Staphylococcus debuckii,0.0273953652,0.0041493892
D83364 Staphylococcus felis,MK121623 Staphylococcus debuckii,0.0284133060,0.0041226994
MT442037 Staphylococcus canis,MK121623 Staphylococcus debuckii,0.0199769117,0.0038481609
EU888120 Staphylococcus microti,MK121623 Staphylococcus debuckii,0.0291323467,0.0043500668
FM242137 Staphylococcus rostri,MK121623 Staphylococcus debuckii,0.0267730418,0.0042631698
FR733703 Staphylococcus muscae,MK121623 Staphylococcus debuckii,0.0246350171,0.0038076166
D83358 Staphylococcus auricularis,MK121623 Staphylococcus debuckii,0.0213403571,0.0034816467
AB233329 Staphylococcus carnosus subsp. utilis,MK121623 Staphylococcus debuckii,0.0048310110,0.0018282710
EU727181 Staphylococcus carnosus subsp. carnosus,MK121623 Staphylococcus debuckii,0.0033045597,0.0014194370
Y15750 Staphylococcus condimenti,MK121623 Staphylococcus debuckii,0.0026045333,0.0012707222
Y15754 Staphylococcus piscifermentans,MK121623 Staphylococcus debuckii,0.0019563603,0.0011293743
AB009938 Staphylococcus delphini,D83373 Staphylococcus simulans,0.0326849717,0.0046892560
AJ780976 Staphylococcus pseudintermedius,D83373 Staphylococcus simulans,0.0362347396,0.0049694925
CAIB01000045 Staphylococcus intermedius,D83373 Staphylococcus simulans,0.0355249509,0.0048788329
FXUZ01000000 Staphylococcus cornubiensis,D83373 Staphylococcus simulans,0.0335645282,0.0048736423
KY019172 Staphylococcus ursi,D83373 Staphylococcus simulans,0.0362496738,0.0048096495
X84731 Staphylococcus lutrae,D83373 Staphylococcus simulans,0.0363732044,0.0050436027
HM484980 Staphylococcus agnetis,D83373 Staphylococcus simulans,0.0343475433,0.0049132216
CP008747 Staphylococcus hyicus,D83373 Staphylococcus simulans,0.0348373686,0.0049841748
D83360 Staphylococcus chromogenes,D83373 Staphylococcus simulans,0.0312907579,0.0045847372
S83568 Staphylococcus schleiferi subsp. schleiferi,D83373 Staphylococcus simulans,0.0356119571,0.0046761679
AB009945 Staphylococcus coagulans,D83373 Staphylococcus simulans,0.0356332540,0.0046936918
D83364 Staphylococcus felis,D83373 Staphylococcus simulans,0.0377390476,0.0047754242
MT442037 Staphylococcus canis,D83373 Staphylococcus simulans,0.0258614523,0.0043928272
EU888120 Staphylococcus microti,D83373 Staphylococcus simulans,0.0299795889,0.0043873981
FM242137 Staphylococcus rostri,D83373 Staphylococcus simulans,0.0301899760,0.0045392983
FR733703 Staphylococcus muscae,D83373 Staphylococcus simulans,0.0306709950,0.0044227123
D83358 Staphylococcus auricularis,D83373 Staphylococcus simulans,0.0326664179,0.0045872153
AB233329 Staphylococcus carnosus subsp. utilis,D83373 Staphylococcus simulans,0.0252291397,0.0043044915
EU727181 Staphylococcus carnosus subsp. carnosus,D83373 Staphylococcus simulans,0.0234317517,0.0039694994
Y15750 Staphylococcus condimenti,D83373 Staphylococcus simulans,0.0213381798,0.0039145306
Y15754 Staphylococcus piscifermentans,D83373 Staphylococcus simulans,0.0206830007,0.0038924535
MK121623 Staphylococcus debuckii,D83373 Staphylococcus simulans,0.0199471617,0.0037335184
AB009938 Staphylococcus delphini,EU707796 Staphylococcus massiliensis,0.0313514809,0.0046136803
AJ780976 Staphylococcus pseudintermedius,EU707796 Staphylococcus massiliensis,0.0311777151,0.0046591551
CAIB01000045 Staphylococcus intermedius,EU707796 Staphylococcus massiliensis,0.0297868682,0.0045040090
FXUZ01000000 Staphylococcus cornubiensis,EU707796 Staphylococcus massiliensis,0.0274502406,0.0043597358
KY019172 Staphylococcus ursi,EU707796 Staphylococcus massiliensis,0.0290753947,0.0043386332
X84731 Staphylococcus lutrae,EU707796 Staphylococcus massiliensis,0.0290541160,0.0045606640
HM484980 Staphylococcus agnetis,EU707796 Staphylococcus massiliensis,0.0260883982,0.0043738160
CP008747 Staphylococcus hyicus,EU707796 Staphylococcus massiliensis,0.0269616723,0.0043291415
D83360 Staphylococcus chromogenes,EU707796 Staphylococcus massiliensis,0.0298664221,0.0044534024
S83568 Staphylococcus schleiferi subsp. schleiferi,EU707796 Staphylococcus massiliensis,0.0297868682,0.0043079935
AB009945 Staphylococcus coagulans,EU707796 Staphylococcus massiliensis,0.0299498126,0.0043832206
D83364 Staphylococcus felis,EU707796 Staphylococcus massiliensis,0.0277657351,0.0042092544
MT442037 Staphylococcus canis,EU707796 Staphylococcus massiliensis,0.0240035927,0.0042741965
EU888120 Staphylococcus microti,EU707796 Staphylococcus massiliensis,0.0320377877,0.0045016280
FM242137 Staphylococcus rostri,EU707796 Staphylococcus massiliensis,0.0317111553,0.0047739209
FR733703 Staphylococcus muscae,EU707796 Staphylococcus massiliensis,0.0305500284,0.0045891182
D83358 Staphylococcus auricularis,EU707796 Staphylococcus massiliensis,0.0277861316,0.0039899493
AB233329 Staphylococcus carnosus subsp. utilis,EU707796 Staphylococcus massiliensis,0.0267403426,0.0041201613
EU727181 Staphylococcus carnosus subsp. carnosus,EU707796 Staphylococcus massiliensis,0.0262770284,0.0039999096
Y15750 Staphylococcus condimenti,EU707796 Staphylococcus massiliensis,0.0248760161,0.0039579933
Y15754 Staphylococcus piscifermentans,EU707796 Staphylococcus massiliensis,0.0234956455,0.0038873938
MK121623 Staphylococcus debuckii,EU707796 Staphylococcus massiliensis,0.0241762691,0.0039488566
D83373 Staphylococcus simulans,EU707796 Staphylococcus massiliensis,0.0335854383,0.0046719390
AB009938 Staphylococcus delphini,KY315825 Staphylococcus edaphicus,0.0273971541,0.0042628807
AJ780976 Staphylococcus pseudintermedius,KY315825 Staphylococcus edaphicus,0.0319506837,0.0046882665
